field,name
FIELD_1,_id
FIELD_2,OBJECTID
FIELD_3,HoodName
FIELD_4,HoodID
FIELD_5,F2021_Population_Projection
FIELD_6,Assault_2014
FIELD_7,Assault_2015
FIELD_8,Assault_2016
FIELD_9,Assault_2017
FIELD_10,Assault_2018
FIELD_11,Assault_2019
FIELD_12,Assault_2020
FIELD_13,Assault_2021
FIELD_14,Assault_Rate2014
FIELD_15,Assault_Rate2015
FIELD_16,Assault_Rate2016
FIELD_17,Assault_Rate2017
FIELD_18,Assault_Rate2018
FIELD_19,Assault_Rate2019
FIELD_20,Assault_Rate2020
FIELD_21,Assault_Rate2021
FIELD_22,AutoTheft_2014
FIELD_23,AutoTheft_2015
FIELD_24,AutoTheft_2016
FIELD_25,AutoTheft_2017
FIELD_26,AutoTheft_2018
FIELD_27,AutoTheft_2019
FIELD_28,AutoTheft_2020
FIELD_29,AutoTheft_2021
FIELD_30,AutoTheft_Rate2014
FIELD_31,AutoTheft_Rate2015
FIELD_32,AutoTheft_Rate2016
FIELD_33,AutoTheft_Rate2017
FIELD_34,AutoTheft_Rate2018
FIELD_35,AutoTheft_Rate2019
FIELD_36,AutoTheft_Rate2020
FIELD_37,AutoTheft_Rate2021
FIELD_38,BreakAndEnter_2014
FIELD_39,BreakAndEnter_2015
FIELD_40,BreakAndEnter_2016
FIELD_41,BreakAndEnter_2017
FIELD_42,BreakAndEnter_2018
FIELD_43,BreakAndEnter_2019
FIELD_44,BreakAndEnter_2020
FIELD_45,BreakAndEnter_2021
FIELD_46,BreakAndEnter_Rate2014
FIELD_47,BreakAndEnter_Rate2015
FIELD_48,BreakAndEnter_Rate2016
FIELD_49,BreakAndEnter_Rate2017
FIELD_50,BreakAndEnter_Rate2018
FIELD_51,BreakAndEnter_Rate2019
FIELD_52,BreakAndEnter_Rate2020
FIELD_53,BreakAndEnter_Rate2021
FIELD_54,Robbery_2014
FIELD_55,Robbery_2015
FIELD_56,Robbery_2016
FIELD_57,Robbery_2017
FIELD_58,Robbery_2018
FIELD_59,Robbery_2019
FIELD_60,Robbery_2020
FIELD_61,Robbery_2021
FIELD_62,Robbery_Rate2014
FIELD_63,RobberyRate_2015
FIELD_64,Robbery_Rate2016
FIELD_65,Robbery_Rate2017
FIELD_66,Robbery_Rate2018
FIELD_67,Robbery_Rate2019
FIELD_68,Robbery_Rate2020
FIELD_69,Robbery_Rate2021
FIELD_70,TheftOver_2014
FIELD_71,TheftOver_2015
FIELD_72,TheftOver_2016
FIELD_73,TheftOver_2017
FIELD_74,TheftOver_2018
FIELD_75,TheftOver_2019
FIELD_76,TheftOver_2020
FIELD_77,TheftOver_2021
FIELD_78,TheftOver_Rate2014
FIELD_79,TheftOver_Rate2015
FIELD_80,TheftOver_Rate2016
FIELD_81,TheftOver_Rate2017
FIELD_82,TheftOver_Rate2018
FIELD_83,TheftOver_Rate2019
FIELD_84,TheftOver_Rate2020
FIELD_85,TheftOver_Rate2021
FIELD_86,Homicide_2014
FIELD_87,Homicide_2015
FIELD_88,Homicide_2016
FIELD_89,Homicide_2017
FIELD_90,Homicide_2018
FIELD_91,Homicide_2019
FIELD_92,Homicide_2020
FIELD_93,Homicide_2021
FIELD_94,Homicide_Rate2014
FIELD_95,Homicide_Rate2015
FIELD_96,Homicide_Rate2016
FIELD_97,Homicide_Rate2017
FIELD_98,Homicide_Rate2018
FIELD_99,Homicide_Rate2019
FIELD_100,Homicide_Rate2020
FIELD_101,Homicide_Rate2021
FIELD_102,Shootings_2014
FIELD_103,Shootings_2015
FIELD_104,Shootings_2016
FIELD_105,Shootings_2017
FIELD_106,Shootings_2018
FIELD_107,Shootings_2019
FIELD_108,Shootings_2020
FIELD_109,Shootings_2021
FIELD_110,Shooting_Rate2014
FIELD_111,Shootings_Rate2015
FIELD_112,Shootings_Rate2016
FIELD_113,Shootings_Rate2017
FIELD_114,Shootings_Rate2018
FIELD_115,Shootings_Rate2019
FIELD_116,Shootings_Rate2020
FIELD_117,Shootings_Rate2021
FIELD_118,TheftfromMotorVehicle_2014
FIELD_119,TheftfromMotorVehicle_2015
FIELD_120,TheftfromMotorVehicle_2016
FIELD_121,TheftfromMotorVehicle_2017
FIELD_122,TheftfromMotorVehicle_2018
FIELD_123,TheftfromMotorVehicle_2019
FIELD_124,TheftfromMotorVehicle_2020
FIELD_125,TheftfromMotorVehicle_2021
FIELD_126,TheftfromMotorVehicle_Rate2014
FIELD_127,TheftfromMotorVehicle_Rate2015
FIELD_128,TheftfromMotorVehicle_Rate2016
FIELD_129,TheftfromMotorVehicle_Rate2017
FIELD_130,TheftfromMotorVehicle_Rate2018
FIELD_131,TheftfromMotorVehicle_Rate2019
FIELD_132,TheftfromMotorVehicle_Rate2020
FIELD_133,TheftfromMotorVehicle_Rate2021
geometry,geometry
